"0.8315,[120, 446],0.0321642457169072,7,167"
"0.8514,[151, 620],0.010365642019676,19,368"
"0.8567,[156,481,464, 717],0.0520179298437769,7,454"
"0.8644,[212, 111],0.0831652981939328,12,760"
"0.86,[24,332, 633],0.0718166140433448,20,476"
"0.8749,[125,611,320, 131],0.0576030501120302,19,404"
"0.8676,[108,336, 560],0.0107213975503966,1,431"
"0.8735,[378,570, 374],0.050381082699941,17,696"
"0.8733,[347,401, 709],0.0148346386365238,13,900"
"0.8768,[330,375, 540],0.0610278000236537,4,560"
"0.8676,[108,336, 560],0.0107213975503966,1,431"
"0.8693,[125,435,540, 131],0.0466939556002551,4,404"
"0.8749,[125,611,320, 131],0.0576030501120302,19,404"
"0.87,[156,398,464, 717],0.0597952212718778,7,454"
"0.8768,[330,375, 540],0.0610278000236537,4,560"
"0.8837,[388, 620],0.010365642019676,4,628"
"0.8797,[330,401, 540],0.0609086854444393,13,1034"
"0.8735,[378,570, 374],0.050381082699941,17,696"
"0.8733,[347,401, 709],0.0148346386365238,13,900"
"0.8783,[330,570, 307],0.050381082699941,17,566"
"0.8748,[388,622, 560],0.0107213975503966,4,628"
"0.8768,[330,375, 540],0.0610278000236537,4,560"
"0.8749,[125,611,320, 131],0.0576030501120302,19,404"
"0.8783,[330,570, 307],0.050381082699941,17,566"
"0.8781,[125,435,631, 131],0.0599943303488985,4,404"
"0.8837,[388, 620],0.010365642019676,4,628"
"0.8797,[330,401, 540],0.0609086854444393,13,1034"
"0.8835,[324,611, 320],0.0609086854444393,19,1034"
"0.8804,[330, 615],0.050381082699941,17,628"
"0.8798,[125, 322],0.0107213975503966,4,484"
"0.8794,[388,622,320, 155],0.0576030501120302,4,632"
"0.8798,[125, 322],0.0107213975503966,4,484"
"0.8797,[330,401, 540],0.0609086854444393,13,1034"
"0.8804,[330, 615],0.050381082699941,17,628"
"0.8834,[330,361,631, 131],0.0492757381834798,17,628"
"0.8837,[388, 620],0.010365642019676,4,628"
"0.8809,[330,570, 297],0.0610278000236537,4,492"
"0.8835,[324,611, 320],0.0609086854444393,19,1034"
"0.8834,[324, 542],0.010365642019676,4,1034"
"0.8909,[615],0.0107213975503966,4,484"
"0.8798,[125, 322],0.0107213975503966,4,484"
"0.8804,[330, 615],0.050381082699941,17,628"
"0.8809,[330,570, 297],0.0610278000236537,4,492"
"0.8834,[324, 542],0.010365642019676,4,1034"
"0.8808,[615, 643],0.010365642019676,4,484"
"0.8837,[388, 620],0.010365642019676,4,628"
"0.8834,[330,361,631, 131],0.0492757381834798,17,628"
"0.8835,[324,611, 320],0.0609086854444393,19,1034"
"0.8902,[347,570, 297],0.0626014225826946,4,1034"
"0.8909,[615],0.0107213975503966,484,4,484"
"0.8808,[615, 643],0.010365642019676,4,484"
"0.8834,[324, 542],0.010365642019676,4,1034"
"0.8809,[330,570, 297],0.0610278000236537,4,492"
"0.8835,[324,611, 320],0.0609086854444393,19,1034"
"0.884,[388, 643],0.010782831081453,4,515"
"0.8837,[388, 620],0.010365642019676,4,628"
"0.8834,[330,361,631, 131],0.0492757381834798,17,628"
"0.8848,[615, 665],0.010365642019676,4,628"
"0.8902,[347,570, 297],0.0626014225826946,4,1034"
"0.8909,[615],0.0107213975503966,4,484"
